,loinc_num,long_common_name,component,system,property,qname,f_component_match,f_system_match,f_property_match,f_long_name_match,label,stage1_prob,stage1_logit
131,1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
132,33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,bilirubin in plasma,1,0,1,1,0,0.6874906161927554,0.7884136833645996
133,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
134,33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
135,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
136,14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
137,23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
138,19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
139,14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
140,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
141,18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
142,20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,white blood cells count,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
143,1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
144,13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
